Comment,Designator,Footprint,LCSC
boot,SW1,SW_SPST_TL3342,C115351
1k,"R1,R6,R9",R_0402_1005Metric,C11702
100nF,"C1,C10,C11,C12,C13,C14,C15,C18,C5,C6,C9",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
RP2040,U3,RP2040-QFN-56,C2040
4.7k,"R10,R8",R_0402_1005Metric,C25900
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335
27R,"R4,R5",R_0402_1005Metric,C316853
SK6812MINI-E,"LED1,LED10,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED_6028R,C5149201
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U4,SOT-23,C5446
Pico EZmate,J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D5,D6,D7,D8,D9",D_SOD-123F,C81598
74AHCT1G125,U1,TSOT-23-5,C842287
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
